"race","driver1_name","driver1_avg_lap_ms","driver1_avg_stddev_ms","driver1_lap_cv","driver2_name","driver2_avg_lap_ms","driver2_avg_stddev_ms","driver2_lap_cv","cv_diff"
"Mexico City Grand Prix","Sainz","84593.085714285714","10112.05299006","0.11953758282578312756","Leclerc","84508.774647887324","10004.37767351","0.11838270895766803439","-0.00115487386811509317"
"Mexico City Grand Prix","Hamilton","83600.577464788732","10231.65847004","0.12238741382318101843","Bottas","86261.144927536232","11511.45720866","0.13344892672512302110","0.01106151290194200267"
"Mexico City Grand Prix","Verstappen","83367.408450704225","10221.88047779","0.12261242933842995406","Pérez","83617.436619718310","10201.52398241","0.12200235255722153759","-0.00061007678120841647"
"Mexico City Grand Prix","Ricciardo","85442.500000000000","10626.09780552","0.12436548328431401235","Norris","84933.028571428571","10464.45228349","0.12320827903469153573","-0.00115720424962247662"
"Mexico City Grand Prix","Stroll","85899.086956521739","10812.37919856","0.12587303988496106927","Vettel","84702.057142857143","10074.33660618","0.11893851160177590539","-0.00693452828318516388"
"Monaco Grand Prix","Verstappen","76113.076923076923","2188.406624109777","0.02875204514884443291","Pérez","76375.769230769231","2678.354509977886","0.03506811829135551237","0.00631607314251107946"
"Monaco Grand Prix","Gasly","76804.051282051282","2439.401139504104","0.03176136022494141137","Tsunoda","78057.974025974026","3237.127397676860","0.04147080984448425611","0.00970944961954284474"
"Monaco Grand Prix","Ocon","77648.129870129870","2583.890046496853","0.03327691279646438351","Alonso","77705.350649350649","3041.591761104155","0.03914262963472737776","0.00586571683826299425"
"Monaco Grand Prix","Stroll","77168.792207792208","2690.674261699112","0.03486738854813148230","Vettel","76787.320512820513","2483.268795141680","0.03233956828493670572","-0.00252782026319477658"
"Monaco Grand Prix","Giovinazzi","77653.532467532468","2743.232589791676","0.03532656535539632265","Räikkönen","77671.090909090909","2916.131482045033","0.03754461856932304641","0.00221805321392672376"
"Monaco Grand Prix","Ricciardo","77699.012987012987","3135.572244816040","0.04035536777462199791","Norris","76362.141025641026","2401.087295504414","0.03144342554117455020","-0.00891194223344744771"
"Monaco Grand Prix","Russell","78034.038961038961","3249.364425470725","0.04164034655559833531","Latifi","78048.116883116883","3189.758000942960","0.04086912187413657082","-0.00077122468146176449"
"Monaco Grand Prix","Schumacher","79684.253333333333","4162.328039117679","0.05223526437156817203","Mazepin","79664.840000000000","3561.738533281108","0.04470904018988939161","-0.00752622418167878042"
"Portuguese Grand Prix","Schumacher","88732.046875000000","11835.20307754","0.13338138242446579422","Mazepin","89708.656250000000","12112.83486568","0.13502414785841806654","0.00164276543395227232"
"Portuguese Grand Prix","Russell","88297.907692307692","11863.38117081","0.13435631127467259485","Latifi","88780.000000000000","11722.72592223","0.13204241858785762559","-0.00231389268681496926"
"Portuguese Grand Prix","Stroll","87389.769230769231","11997.13461723","0.13728305639015128473","Vettel","87378.907692307692","12074.30882044","0.13818333439184143943","0.00090027800169015470"
"Portuguese Grand Prix","Ricciardo","87072.575757575758","12087.70872232","0.13882337368741854081","Norris","86708.939393939394","12316.72141425","0.14204673128674999422","0.00322335759933145341"
"Portuguese Grand Prix","Gasly","87089.151515151515","12105.24431964","0.13899830356636285656","Tsunoda","87639.030769230769","11985.41967346","0.13675892542695676374","-0.00223937813940609282"
"Portuguese Grand Prix","Sainz","87126.909090909091","12214.59111155","0.14019309578404959939","Leclerc","86775.787878787879","12244.42389073","0.14110415116983476365","0.00091105538578516426"
"Portuguese Grand Prix","Ocon","86896.515151515152","12267.15522817","0.14116970291363987388","Alonso","86912.560606060606","12061.65399314","0.13877918115668673628","-0.00239052175695313760"
